% Model,農試?�_?�水模擬_農試?�水田.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.6.0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Sep 18 2024, 16:08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Nodes,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Expressions,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Description,Liquid volume fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% X,Y,t=0h,t=3h,t=6h,t=9h,t=12h,t=15h,t=18h,t=21h,t=24h,t=27h,t=30h,t=33h,t=36h,t=39h,t=42h,t=45h,t=48h,t=51h,t=54h,t=57h,t=60h,t=63h,t=66h,t=69h,t=72h,t=75h,t=78h,t=81h,t=84h,t=87h,t=90h,t=93h,t=96h,t=99h,t=102h,t=105h,t=108h,t=111h,t=114h,t=117h,t=120h,t=123h,t=126h,t=129h,t=132h,t=135h,t=138h,t=141h,t=144h
0,-20,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-20,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-19.5,0.305190624,0.305190638,0.30519065,0.305190662,0.305190672,0.30519068,0.305190688,0.305190694,0.305190699,0.305190704,0.305190707,0.30519071,0.305190712,0.305190713,0.305190714,0.305190714,0.305190713,0.305190713,0.305190712,0.30519071,0.305190708,0.305190707,0.305190704,0.305190702,0.3051907,0.305190697,0.305190694,0.305190692,0.305190689,0.305190686,0.305190683,0.30519068,0.305190677,0.305190674,0.305190671,0.305190668,0.305190665,0.305190662,0.305190659,0.305190656,0.305190653,0.30519065,0.305190647,0.305190644,0.305190641,0.305190638,0.305190636,0.305190633,0.30519063
10,-19.5,0.305190624,0.305190638,0.30519065,0.305190662,0.305190672,0.30519068,0.305190688,0.305190694,0.305190699,0.305190704,0.305190707,0.30519071,0.305190712,0.305190713,0.305190714,0.305190714,0.305190713,0.305190713,0.305190712,0.30519071,0.305190708,0.305190707,0.305190704,0.305190702,0.3051907,0.305190697,0.305190694,0.305190692,0.305190689,0.305190686,0.305190683,0.30519068,0.305190677,0.305190674,0.305190671,0.305190668,0.305190665,0.305190662,0.305190659,0.305190656,0.305190653,0.30519065,0.305190647,0.305190644,0.305190641,0.305190638,0.305190636,0.305190633,0.30519063
0,-19,0.256795533,0.256795564,0.25679559,0.256795611,0.256795627,0.25679564,0.256795649,0.256795654,0.256795657,0.256795657,0.256795655,0.256795651,0.256795646,0.256795639,0.256795631,0.256795621,0.256795611,0.2567956,0.256795588,0.256795575,0.256795562,0.256795549,0.256795535,0.256795521,0.256795507,0.256795493,0.256795479,0.256795464,0.25679545,0.256795436,0.256795421,0.256795407,0.256795393,0.256795379,0.256795365,0.256795351,0.256795338,0.256795325,0.256795311,0.256795298,0.256795286,0.256795273,0.256795261,0.256795249,0.256795237,0.256795225,0.256795214,0.256795202,0.256795191
10,-19,0.256795533,0.256795564,0.25679559,0.256795611,0.256795627,0.25679564,0.256795649,0.256795654,0.256795657,0.256795657,0.256795655,0.256795651,0.256795646,0.256795639,0.256795631,0.256795621,0.256795611,0.2567956,0.256795588,0.256795575,0.256795562,0.256795549,0.256795535,0.256795521,0.256795507,0.256795493,0.256795479,0.256795464,0.25679545,0.256795436,0.256795421,0.256795407,0.256795393,0.256795379,0.256795365,0.256795351,0.256795338,0.256795325,0.256795311,0.256795298,0.256795286,0.256795273,0.256795261,0.256795249,0.256795237,0.256795225,0.256795214,0.256795202,0.256795191
20,-20,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-19.5,0.305190624,0.305190638,0.30519065,0.305190662,0.305190672,0.30519068,0.305190688,0.305190694,0.305190699,0.305190704,0.305190707,0.30519071,0.305190712,0.305190713,0.305190714,0.305190714,0.305190713,0.305190713,0.305190712,0.30519071,0.305190708,0.305190707,0.305190704,0.305190702,0.3051907,0.305190697,0.305190694,0.305190692,0.305190689,0.305190686,0.305190683,0.30519068,0.305190677,0.305190674,0.305190671,0.305190668,0.305190665,0.305190662,0.305190659,0.305190656,0.305190653,0.30519065,0.305190647,0.305190644,0.305190641,0.305190638,0.305190636,0.305190633,0.30519063
0,-18.5,0.243302115,0.243302066,0.243302018,0.243301972,0.243301927,0.243301884,0.243301843,0.243301803,0.243301764,0.243301727,0.243301691,0.243301656,0.243301622,0.243301589,0.243301557,0.243301527,0.243301497,0.243301467,0.243301439,0.243301412,0.243301385,0.243301359,0.243301334,0.24330131,0.243301286,0.243301262,0.24330124,0.243301218,0.243301196,0.243301175,0.243301155,0.243301135,0.243301115,0.243301096,0.243301078,0.24330106,0.243301042,0.243301025,0.243301008,0.243300992,0.243300976,0.24330096,0.243300945,0.24330093,0.243300916,0.243300902,0.243300888,0.243300874,0.243300861
10,-18.5,0.243302115,0.243302066,0.243302018,0.243301972,0.243301927,0.243301884,0.243301843,0.243301803,0.243301764,0.243301727,0.243301691,0.243301656,0.243301622,0.243301589,0.243301557,0.243301527,0.243301497,0.243301467,0.243301439,0.243301412,0.243301385,0.243301359,0.243301334,0.24330131,0.243301286,0.243301262,0.24330124,0.243301218,0.243301196,0.243301175,0.243301155,0.243301135,0.243301115,0.243301096,0.243301078,0.24330106,0.243301042,0.243301025,0.243301008,0.243300992,0.243300976,0.24330096,0.243300945,0.24330093,0.243300916,0.243300902,0.243300888,0.243300874,0.243300861
