% Model,農試?�_?�水模擬.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.6.0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Aug 30 2024, 09:34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Nodes,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Expressions,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Description,Liquid volume fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% X,Y,t=0h,t=3h,t=6h,t=9h,t=12h,t=15h,t=18h,t=21h,t=24h,t=27h,t=30h,t=33h,t=36h,t=39h,t=42h,t=45h,t=48h,t=51h,t=54h,t=57h,t=60h,t=63h,t=66h,t=69h,t=72h,t=75h,t=78h,t=81h,t=84h,t=87h,t=90h,t=93h,t=96h,t=99h,t=102h,t=105h,t=108h,t=111h,t=114h,t=117h,t=120h,t=123h,t=126h,t=129h,t=132h,t=135h,t=138h,t=141h,t=144h
0,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-8.5,0.303464494,0.303464513,0.303464458,0.303464507,0.303464422,0.303464682,0.303464094,0.303464791,0.303465162,0.303462826,0.303463513,0.303467967,0.303464259,0.303460986,0.30346227,0.303470841,0.303481052,0.303455119,0.303426135,0.303451959,0.303513853,0.303578001,0.303449398,0.303294669,0.303299166,0.303521797,0.303820913,0.303993228,0.303849901,0.303474761,0.3058962,0.310210499,0.317448326,0.324077021,0.329384541,0.334149822,0.337384301,0.338989096,0.339508124,0.339814767,0.339749798,0.339491963,0.339115421,0.33873997,0.338280377,0.337806565,0.337333009,0.336840758,0.336350416
10,-8.5,0.303464494,0.303464513,0.303464458,0.303464507,0.303464422,0.303464682,0.303464094,0.303464791,0.303465162,0.303462826,0.303463513,0.303467967,0.303464259,0.303460986,0.30346227,0.303470841,0.303481052,0.303455119,0.303426135,0.303451959,0.303513853,0.303578001,0.303449398,0.303294669,0.303299166,0.303521797,0.303820913,0.303993228,0.303849901,0.303474761,0.3058962,0.310210499,0.317448326,0.324077021,0.329384541,0.334149822,0.337384301,0.338989096,0.339508124,0.339814767,0.339749798,0.339491963,0.339115421,0.33873997,0.338280377,0.337806565,0.337333009,0.336840758,0.336350416
20,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
30,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
30,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-8,0.247687084,0.247687226,0.247686733,0.247687609,0.247685842,0.247689371,0.247685212,0.247683307,0.247698742,0.247686033,0.247655349,0.24769754,0.247733203,0.247676527,0.247592296,0.247600456,0.247889874,0.248048053,0.247574479,0.246928316,0.246971407,0.248588669,0.250116965,0.249196584,0.246350721,0.245053997,0.248358387,0.259084124,0.278119856,0.296383406,0.314175038,0.32232636,0.32742691,0.32997518,0.331303304,0.331950744,0.332025581,0.331661481,0.331171434,0.330601006,0.329917943,0.329186648,0.32842776,0.327673793,0.326913417,0.326155952,0.325404952,0.324678823,0.323957355
10,-8,0.247687084,0.247687226,0.247686733,0.247687609,0.247685842,0.247689371,0.247685212,0.247683307,0.247698742,0.247686033,0.247655349,0.24769754,0.247733203,0.247676527,0.247592296,0.247600456,0.247889874,0.248048053,0.247574479,0.246928316,0.246971407,0.248588669,0.250116965,0.249196584,0.246350721,0.245053997,0.248358387,0.259084124,0.278119856,0.296383406,0.314175038,0.32232636,0.32742691,0.32997518,0.331303304,0.331950744,0.332025581,0.331661481,0.331171434,0.330601006,0.329917943,0.329186648,0.32842776,0.327673793,0.326913417,0.326155952,0.325404952,0.324678823,0.323957355
20,-8.5,0.303464494,0.303464513,0.303464458,0.303464507,0.303464422,0.303464682,0.303464094,0.303464791,0.303465162,0.303462826,0.303463513,0.303467967,0.303464259,0.303460986,0.30346227,0.303470841,0.303481052,0.303455119,0.303426135,0.303451959,0.303513853,0.303578001,0.303449398,0.303294669,0.303299166,0.303521797,0.303820913,0.303993228,0.303849901,0.303474761,0.3058962,0.310210499,0.317448326,0.324077021,0.329384541,0.334149822,0.337384301,0.338989096,0.339508124,0.339814767,0.339749798,0.339491963,0.339115421,0.33873997,0.338280377,0.337806565,0.337333009,0.336840758,0.336350416
