% Model,Untitled.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.6.0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Aug 2 2024, 10:55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Nodes,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Expressions,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Description,Liquid volume fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Y,t=0h,t=3h,t=6h,t=9h,t=12h,t=15h,t=18h,t=21h,t=24h,t=27h,t=30h,t=33h,t=36h,t=39h,t=42h,t=45h,t=48h,t=51h,t=54h,t=57h,t=60h,t=63h,t=66h,t=69h,t=72h,t=75h,t=78h,t=81h,t=84h,t=87h,t=90h,t=93h,t=96h,t=99h,t=102h,t=105h,t=108h,t=111h,t=114h,t=117h,t=120h
0,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
10,-9,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-10,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
20,-9.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428647207,0.357179308,0.308281177,0.301459526,0.298927396,0.292420367,0.286329673,0.28019274,0.273995969,0.265961079,0.258178815,0.250659172,0.243257063,0.234825537,0.226792238,0.224334304,0.222042706,0.225382742,0.229804955
10,-8.5,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.428648693,0.357233083,0.308297434,0.301458278,0.29892394,0.292417724,0.286327858,0.280191224,0.273994728,0.265959922,0.25817774,0.250658178,0.243256169,0.234824924,0.226791883,0.224334182,0.22204281,0.225383075,0.229805529
