"觀測時間(month)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime","RH"
"01","1019.0","1026.7","2024/01/25 10:39:00","1012.1","2024/01/09 15:27:00","16.8","28.5","2024/01/31 14:06:00","7.0","2024/01/23 06:47:00","2.7","15","15.3","13","2024/01/23 01:47:00","4.5","2","4.0","2024/01/23 00:00:00","79"
"02","1017.9","1026.0","2024/02/11 09:48:00","1012.3","2024/02/21 14:56:00","18.5","31.0","2024/02/21 13:34:00","9.0","2024/02/12 06:11:00","2.4","8","11.6","358","2024/02/25 13:14:00","15.5","3","8.5","2024/02/08 00:00:00","81"
"03","1015.0","1023.2","2024/03/10 10:08:00","1005.9","2024/03/05 14:43:00","20.5","33.4","2024/03/23 13:06:00","11.4","2024/03/09 04:47:00","1.9","10","14.5","20","2024/03/01 06:33:00","11.5","5","6.5","2024/03/11 00:00:00","78"
"04","1009.7","1016.0","2024/04/10 10:40:00","1002.6","2024/04/26 15:43:00","25.6","35.4","2024/04/21 11:51:00","18.9","2024/04/09 05:31:00","0.9","4","11.4","339","2024/04/04 23:16:00","113.0","12","39.0","2024/04/25 00:00:00","85"
"05","1009.1","1015.1","2024/05/10 09:28:00","1000.1","2024/05/28 04:18:00","25.6","34.7","2024/05/31 10:00:00","18.4","2024/05/16 04:16:00","1.3","4","12.1","340","2024/05/01 00:22:00","69.0","10","28.0","2024/05/01 00:00:00","85"
"06","1007.3","1012.1","2024/06/25 21:52:00","1002.9","2024/06/13 18:08:00","28.9","37.1","2024/06/28 13:03:00","21.4","2024/06/03 03:44:00","0.6","216","9.8","207","2024/06/29 14:48:00","130.0","12","50.5","2024/06/02 00:00:00","83"
"07","1005.0","1013.5","2024/07/03 22:56:00","976.4","2024/07/25 05:54:00" ,"29.7","37.3","2024/07/13 13:33:00","22.3","2024/07/08 17:40:00","1.1","332","17.1","344","2024/07/24 11:15:00","640.5","10","501.0","2024/07/25 00:00:00","81"
"08","1005.5","1010.8","2024/08/21 21:52:00","999.8","2024/08/28 15:19:00" ,"29.4","36.3","2024/08/03 13:20:00","23.7","2024/08/20 15:39:00","0.5","223","9.9","217","2024/08/20 15:05:00","102.0","9","60.0","2024/08/20 00:00:00","82"
"09","1004.5","1012.3","2024/09/23 23:01:00","995.2","2024/09/30 15:00:00" ,"28.5","35.5","2024/09/06 12:09:00","22.9","2024/09/14 15:28:00","0.8","357","10.5","44","2024/09/14 13:15:00","199.5","12","105.5","2024/09/14 00:00:00","87"
"10","1007.8","1014.8","2024/10/20 09:19:00","971.4","2024/10/31 15:13:00" ,"25.9","37.8","2024/10/07 12:00:00","19.6","2024/10/11 05:47:00","2.5","16","20.1","348","2024/10/31 12:33:00","34.5","3","30.0","2024/10/31 00:00:00","83"
"11","1013.3","1020.3","2024/11/28 09:22:00","992.6","2024/11/01 00:02:00" ,"22.5","31.7","2024/11/13 11:53:00","11.1","2024/11/30 06:02:00","2.8","14","12.4","10","2024/11/18 18:59:00","60.5","2","60.0","2024/11/01 00:00:00","78"
"12","1016.9","1023.7","2024/12/14 09:21:00","1011.0","2024/12/01 14:47:00","17.7","27.0","2024/12/03 12:26:00","10.3","2024/12/29 03:42:00","3.3","15","16.7","11","2024/12/28 03:11:00","21.5","2","12.0","2024/12/24 00:00:00","75"
