"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1009.5","1010.5","2024/06/01 11:35:00","1008.0","2024/06/01 16:20:00","28.4","34.2","2024/06/01 10:13:00","26.5","2024/06/01 05:30:00","90","61","2024/06/01 10:14:00","0.1","0","4.4","207","2024/06/01 09:40:00","3.5"
"02","1006.1","1008.9","2024/06/02 00:01:00","1003.2","2024/06/02 15:40:00","26.0","30.3","2024/06/02 13:50:00","22.5","2024/06/03 00:00:00","98","81","2024/06/02 14:31:00","0.5","3","6.5","336","2024/06/02 21:34:00","50.5"
"03","1006.7","1008.6","2024/06/03 21:52:00","1004.9","2024/06/03 02:31:00","23.6","27.1","2024/06/03 14:02:00","21.4","2024/06/03 03:44:00","81","68","2024/06/03 14:03:00","2.9","10","9.4","23","2024/06/03 10:35:00","0.0"
"04","1008.9","1011.4","2024/06/04 22:38:00","1007.1","2024/06/04 02:20:00","25.1","31.6","2024/06/04 11:01:00","21.7","2024/06/04 04:48:00","82","53","2024/06/04 13:57:00","0.2","0","4.2","298","2024/06/04 13:44:00","3.0"
"05","1009.7","1010.9","2024/06/05 22:07:00","1008.8","2024/06/05 16:44:00","25.2","27.9","2024/06/05 11:12:00","22.2","2024/06/05 00:01:00","93","77","2024/06/05 11:13:00","0.8","20","3.9","328","2024/06/05 14:28:00","0.5"
"06","1008.4","1010.1","2024/06/06 00:01:00","1006.6","2024/06/06 16:42:00","25.5","30.2","2024/06/06 11:11:00","23.3","2024/06/06 22:52:00","93","73","2024/06/06 11:07:00","1.0","338","5.5","341","2024/06/06 15:27:00","1.0"
"07","1006.5","1008.3","2024/06/07 00:01:00","1004.6","2024/06/07 15:48:00","26.2","30.6","2024/06/07 12:13:00","23.4","2024/06/07 00:31:00","89","69","2024/06/07 10:57:00","1.9","15","7.5","333","2024/06/07 13:57:00","0.0"
"08","1006.4","1008.4","2024/06/08 22:26:00","1004.7","2024/06/08 15:13:00","27.8","32.6","2024/06/08 14:49:00","24.6","2024/06/08 03:03:00","87","67","2024/06/08 14:49:00","0.8","306","5.1","301","2024/06/08 15:17:00","0.0"
"09","1008.1","1009.9","2024/06/09 22:40:00","1006.1","2024/06/09 04:27:00","28.6","33.7","2024/06/09 12:31:00","25.6","2024/06/09 05:11:00","87","60","2024/06/09 12:53:00","0.3","73","4.7","290","2024/06/09 13:35:00","3.5"
"10","1008.8","1010.1","2024/06/10 22:48:00","1006.5","2024/06/10 16:17:00","28.1","32.8","2024/06/10 13:30:00","25.3","2024/06/10 04:57:00","90","67","2024/06/10 12:58:00","0.2","0","5.8","205","2024/06/10 13:58:00","10.5"
"11","1007.7","1009.8","2024/06/11 07:54:00","1005.6","2024/06/11 16:58:00","28.6","33.6","2024/06/11 11:24:00","25.9","2024/06/11 08:05:00","88","62","2024/06/11 11:25:00","0.5","216","8.7","222","2024/06/11 15:40:00","3.0"
"12","1006.4","1007.6","2024/06/12 08:35:00","1005.2","2024/06/12 16:03:00","29.1","33.8","2024/06/12 11:04:00","25.8","2024/06/12 05:31:00","84","65","2024/06/12 13:07:00","0.6","216","6.9","212","2024/06/12 13:26:00","2.0"
"13","1004.7","1006.6","2024/06/13 09:11:00","1002.9","2024/06/13 18:08:00","28.8","33.6","2024/06/13 12:52:00","24.9","2024/06/13 06:52:00","86","65","2024/06/13 15:09:00","0.4","224","5.4","210","2024/06/13 21:34:00","7.5"
"14","1004.4","1006.3","2024/06/14 22:53:00","1003.0","2024/06/14 16:40:00","28.8","33.2","2024/06/14 12:55:00","25.3","2024/06/14 06:21:00","88","68","2024/06/14 15:34:00","0.5","14","6.5","216","2024/06/14 16:57:00","12.0"
"15","1005.1","1007.4","2024/06/15 23:11:00","1003.4","2024/06/15 16:06:00","30.2","35.0","2024/06/15 11:31:00","26.5","2024/06/15 03:56:00","82","60","2024/06/15 12:51:00","0.8","216","7.3","222","2024/06/15 09:18:00","0.0"
"16","1006.6","1008.0","2024/06/16 22:29:00","1005.3","2024/06/16 15:49:00","29.8","35.3","2024/06/16 13:34:00","26.1","2024/06/16 05:22:00","84","59","2024/06/16 13:43:00","0.4","235","7.2","219","2024/06/16 13:26:00","0.0"
"17","1006.5","1007.9","2024/06/17 22:28:00","1004.8","2024/06/17 15:44:00","30.0","34.5","2024/06/17 11:44:00","26.9","2024/06/17 05:22:00","83","59","2024/06/17 11:44:00","0.4","233","7.5","213","2024/06/17 14:02:00","0.0"
"18","1006.3","1007.5","2024/06/18 08:32:00","1004.7","2024/06/18 16:50:00","30.2","36.6","2024/06/18 12:41:00","26.4","2024/06/18 05:31:00","82","53","2024/06/18 13:16:00","0.2","0","6.1","208","2024/06/18 12:16:00","0.0"
"19","1005.9","1007.1","2024/06/19 08:13:00","1004.2","2024/06/19 16:27:00","30.0","36.3","2024/06/19 11:13:00","26.4","2024/06/19 05:12:00","81","56","2024/06/19 10:39:00","0.2","0","5.7","215","2024/06/19 09:34:00","0.0"
"20","1005.2","1006.6","2024/06/20 22:08:00","1003.1","2024/06/20 16:00:00","30.6","36.4","2024/06/20 13:45:00","25.8","2024/06/20 05:21:00","78","56","2024/06/20 13:01:00","0.4","136","5.4","308","2024/06/20 11:38:00","0.0"
"21","1005.1","1006.9","2024/06/21 22:44:00","1003.2","2024/06/21 15:28:00","31.4","36.5","2024/06/21 11:27:00","26.2","2024/06/21 04:57:00","78","57","2024/06/21 10:27:00","0.3","223","5.9","297","2024/06/21 14:54:00","0.0"
