"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","SunShine","SunshineRate","GloblRad","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1001.9","1012.3","1003.6","2024/05/01 21:54:00","998.9","2024/05/01 08:10:00","24.3","29.7","2024/05/01 12:26:00","21.4","2024/05/01 04:20:00","21.3","84","50","2024/05/01 09:43:00","1.5","270","6.7","250","2024/05/01 01:08:00","23.5","-99.9","2.0","2024/05/01 00:33:00","0.1","X","0.76","23.9","24.7","25.1","25.3","/","25.8","25.3"
"02","1003.6","1014.1","1005.4","2024/05/02 21:32:00","1002.0","2024/05/02 03:17:00","24.9","30.4","2024/05/02 14:20:00","22.0","2024/05/02 04:48:00","21.5","82","58","2024/05/02 14:12:00","2.5","320","7.4","310","2024/05/02 06:18:00","1.5","-99.9","1.0","2024/05/02 06:10:00","3.4","X","6.92","24.9","25.3","25.5","25.5","/","25.6","25.3"
"03","1003.9","1014.3","1005.7","2024/05/03 08:15:00","1002.1","2024/05/03 15:35:00","25.1","30.9","2024/05/03 14:58:00","20.5","2024/05/03 04:54:00","21.3","80","58","2024/05/03 14:59:00","2.2","300","6.8","330","2024/05/03 08:16:00","0.0","-99.9","0.0","2024/05/03 00:01:00","3.4","X","7.13","25.2","25.6","25.8","25.8","/","25.8","25.3"
"04","1001.9","1012.3","1003.8","2024/05/04 00:03:00","1000.1","2024/05/04 16:16:00","26.4","31.8","2024/05/04 12:43:00","22.4","2024/05/04 05:22:00","22.5","80","55","2024/05/04 13:01:00","2.2","290","7.4","300","2024/05/04 06:01:00","0.0","-99.9","0.0","2024/05/04 00:01:00","3.1","X","4.79","26.2","26.2","26.4","26.3","/","26.1","25.4"
"05","1001.8","1012.2","1003.9","2024/05/05 11:01:00","1000.0","2024/05/05 02:43:00","26.0","30.0","2024/05/05 14:04:00","22.8","2024/05/05 04:45:00","23.6","87","66","2024/05/05 14:55:00","1.3","210","4.6","130","2024/05/05 04:20:00","3.0","-99.9","1.0","2024/05/05 11:17:00","3.4","X","4.84","25.9","26.3","26.4","26.4","/","26.3","25.5"
"06","1003.2","1013.5","1004.5","2024/05/06 09:43:00","1001.6","2024/05/06 15:50:00","27.4","32.6","2024/05/06 13:45:00","23.6","2024/05/06 05:01:00","23.4","79","56","2024/05/06 13:40:00","2.4","290","7.8","300","2024/05/06 05:45:00","0.0","-99.9","0.0","2024/05/06 00:01:00","4.1","X","7.67","26.7","26.8","26.8","26.7","/","26.4","25.6"
"07","1004.4","1014.8","1005.7","2024/05/07 07:50:00","1002.8","2024/05/07 16:41:00","27.0","32.1","2024/05/07 12:15:00","23.7","2024/05/07 05:33:00","22.6","77","52","2024/05/07 12:11:00","2.1","290","6.8","290","2024/05/07 04:39:00","0.0","-99.9","0.0","2024/05/07 00:01:00","3.6","X","4.30","26.6","26.8","27.0","27.0","/","26.7","25.7"
"08","1004.2","1014.6","1005.4","2024/05/08 22:18:00","1002.5","2024/05/08 16:21:00","26.6","31.7","2024/05/08 15:42:00","23.3","2024/05/08 01:41:00","22.3","78","51","2024/05/08 15:35:00","2.6","310","8.0","320","2024/05/08 08:12:00","0.0","-99.9","0.0","2024/05/08 00:01:00","4.2","X","7.88","26.2","26.6","26.8","26.9","/","26.8","25.9"
"09","1006.0","1016.4","1008.1","2024/05/09 22:46:00","1004.4","2024/05/09 15:49:00","25.2","30.9","2024/05/09 14:35:00","21.1","2024/05/09 23:54:00","19.3","71","42","2024/05/09 14:37:00","2.4","320","7.7","300","2024/05/09 06:21:00","0.0","-99.9","0.0","2024/05/09 00:01:00","4.0","X","7.84","25.4","26.0","26.4","26.6","/","26.8","26.0"
"10","1006.7","1017.1","1008.0","2024/05/10 09:37:00","1005.7","2024/05/10 16:12:00","25.2","30.7","2024/05/10 13:41:00","20.6","2024/05/10 02:13:00","20.4","75","53","2024/05/10 13:45:00","2.3","280","7.5","320","2024/05/10 05:39:00","0.0","-99.9","0.0","2024/05/10 00:01:00","4.0","X","8.06","25.5","25.8","26.1","26.3","/","26.6","26.0"
"11","1005.8","1016.2","1008.2","2024/05/11 09:06:00","1003.7","2024/05/11 17:52:00","25.8","31.8","2024/05/11 14:11:00","22.4","2024/05/11 03:26:00","18.8","68","32","2024/05/11 17:23:00","1.7","260","6.1","280","2024/05/11 07:18:00","0.0","-99.9","0.0","2024/05/11 00:01:00","3.8","X","7.84","25.4","25.9","26.3","26.5","/","26.7","26.0"
"12","1003.1","1013.4","1005.2","2024/05/12 00:02:00","1000.7","2024/05/12 16:00:00","27.4","33.0","2024/05/12 12:40:00","22.8","2024/05/12 04:20:00","21.8","72","56","2024/05/12 09:46:00","2.2","260","8.5","280","2024/05/12 07:18:00","0.0","-99.9","0.0","2024/05/12 00:01:00","2.9","X","7.07","26.5","26.3","26.5","26.5","/","26.6","26.0"
"13","1002.3","1012.7","1003.7","2024/05/13 19:50:00","1000.7","2024/05/13 03:42:00","24.3","28.0","2024/05/13 11:53:00","20.4","2024/05/14 00:00:00","19.4","74","61","2024/05/13 12:33:00","3.4","320","8.6","320","2024/05/13 03:58:00","0.0","-99.9","0.0","2024/05/13 00:01:00","3.3","X","4.09","24.8","25.8","26.3","26.6","/","26.8","26.1"
