"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","999.2","1009.4","1000.8","2024/07/01 07:33:00","996.9","2024/07/01 16:27:00","30.9","36.4","2024/07/01 13:46:00","26.5","2024/07/01 05:25:00","24.2","68","45","2024/07/01 12:10:00","3.6","200","10.4","240","2024/07/01 15:16:00","0.0","-99.9","0.0","2024/07/01 00:01:00","--","--","11.5","X","28.24","29.6","29.2","29.4","29.4","/","29.3","28.4"
"02","1000.8","1011.0","1004.1","2024/07/02 22:24:00","998.8","2024/07/02 15:15:00","29.9","37.1","2024/07/02 12:52:00","26.2","2024/07/02 23:42:00","24.4","73","44","2024/07/02 12:41:00","3.4","180","10.6","270","2024/07/02 13:05:00","0.0","-99.9","0.0","2024/07/02 00:01:00","--","--","9.4","X","25.01","29.3","29.3","29.6","29.6","/","29.5","28.4"
"03","1004.8","1015.0","1006.9","2024/07/03 21:51:00","1002.7","2024/07/03 03:05:00","29.6","36.5","2024/07/03 12:28:00","24.6","2024/07/03 04:13:00","24.1","74","43","2024/07/03 12:19:00","2.6","220","8.7","300","2024/07/03 13:11:00","0.0","-99.9","0.0","2024/07/03 00:01:00","--","--","9.6","X","26.58","29.1","29.1","29.4","29.4","/","29.5","28.5"
"04","1003.3","1013.4","1005.5","2024/07/04 08:57:00","1001.9","2024/07/04 16:28:00","32.0","35.6","2024/07/04 12:46:00","27.3","2024/07/04 23:58:00","24.8","66","51","2024/07/04 14:08:00","3.5","310","10.9","290","2024/07/04 14:56:00","0.0","-99.9","0.0","2024/07/04 00:00:00","--","--","8.8","X","24.36","30.0","29.7","29.8","29.8","/","29.6","28.6"
"05","1001.2","1011.4","1003.0","2024/07/05 00:01:00","998.8","2024/07/05 16:24:00","30.2","35.2","2024/07/05 13:43:00","25.5","2024/07/05 05:16:00","25.0","74","57","2024/07/05 14:30:00","2.6","280","9.6","290","2024/07/05 13:46:00","0.0","-99.9","0.0","2024/07/05 00:01:00","--","--","11.8","X","24.81","29.8","29.6","29.8","29.7","/","29.6","28.6"
"06","1001.5","1011.7","1003.5","2024/07/06 18:37:00","999.7","2024/07/06 15:28:00","29.5","36.1","2024/07/06 12:30:00","25.3","2024/07/06 18:01:00","24.3","75","51","2024/07/06 15:27:00","2.5","260","12.3","160","2024/07/06 17:21:00","0.0","-99.9","0.0","2024/07/06 00:01:00","--","--","10.9","X","26.55","29.6","29.5","29.8","29.8","/","29.7","28.7"
"07","1002.3","1012.6","1003.2","2024/07/07 21:48:00","1000.8","2024/07/07 14:31:00","28.2","35.2","2024/07/07 12:38:00","24.6","2024/07/07 05:00:00","23.5","77","54","2024/07/07 10:56:00","2.2","200","12.3","150","2024/07/07 15:52:00","1.5","-99.9","1.0","2024/07/07 14:55:00","--","--","8.6","X","21.43","28.3","28.8","29.2","29.5","/","29.6","28.7"
"08","1001.4","1011.7","1002.8","2024/07/08 00:01:00","999.4","2024/07/08 19:02:00","27.2","34.4","2024/07/08 13:00:00","22.8","2024/07/08 23:48:00","22.6","77","50","2024/07/08 10:42:00","2.4","200","12.5","170","2024/07/08 16:22:00","2.0","-99.9","1.0","2024/07/08 16:53:00","--","--","8.1","X","18.19","27.2","28.1","28.7","29.0","/","29.4","28.7"
"09","1001.1","1011.4","1002.4","2024/07/09 07:05:00","999.7","2024/07/09 15:55:00","28.4","35.0","2024/07/09 15:17:00","22.2","2024/07/09 05:25:00","22.7","72","52","2024/07/09 15:20:00","2.6","220","8.3","310","2024/07/09 16:58:00","0.5","-99.9","0.5","2024/07/09 19:08:00","--","--","11.8","X","30.59","28.1","28.2","28.5","28.7","/","29.1","28.7"
