Time,Precp
2024-01-01,1.5
2024-01-02,1.5
2024-01-03,0.5
2024-01-04,0.5
2024-01-05,1.0
2024-01-06,1.0
2024-01-07,0.5
2024-01-08,0.5
2024-01-09,1.0
2024-01-10,0.5
2024-01-11,0.5
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-20,0.0
2024-01-21,2.0
2024-01-22,0.0
2024-01-23,6.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.5
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,10.0
2024-02-09,12.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.5
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.5
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,1.0
2024-03-11,18.0
2024-03-12,0.5
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,0.0
2024-03-30,10.5
2024-03-31,1.0
2024-04-01,2.5
2024-04-02,0.0
2024-04-03,0.5
2024-04-04,0.5
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,3.0
2024-04-08,0.5
2024-04-09,1.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,6.5
2024-04-24,60.0
2024-04-25,41.0
2024-04-26,8.5
2024-04-27,0.0
2024-04-28,25.0
2024-04-29,0.0
2024-04-30,9.5
2024-05-01,23.5
2024-05-02,1.5
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,3.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.5
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,1.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,2.0
2024-05-28,57.0
2024-05-29,0.5
2024-05-30,2.0
2024-05-31,3.0
2024-06-01,1.5
2024-06-02,46.0
2024-06-03,0.0
2024-06-04,1.0
2024-06-05,2.0
2024-06-06,1.0
2024-06-07,0.0
2024-06-08,0.0
2024-06-09,47.0
2024-06-10,1.0
2024-06-11,0.0
2024-06-12,4.0
2024-06-13,0.0
2024-06-14,23.0
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,17.0
2024-06-19,3.5
2024-06-21,5.0
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,9.0
2024-06-25,7.5
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,0.0
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.0
2024-07-04,0.0
2024-07-05,0.0
2024-07-06,0.0
2024-07-07,1.5
2024-07-08,2.0
2024-07-09,0.5
2024-07-10,2.5
2024-07-11,0.5
2024-07-12,0.0
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,0.0
2024-07-16,0.5
2024-07-17,29.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,25.5
2024-07-21,5.5
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,66.5
2024-07-25,209.0
2024-07-26,92.0
2024-07-27,0.5
2024-07-28,0.0
2024-07-29,2.5
2024-07-30,41.5
2024-07-31,10.0
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,1.5
2024-08-06,1.5
2024-08-07,0.0
2024-08-08,20.5
2024-08-09,42.0
2024-08-10,0.0
2024-08-11,0.0
2024-08-12,26.0
2024-08-13,16.5
2024-08-14,5.0
2024-08-15,5.0
2024-08-16,17.0
2024-08-17,2.5
2024-08-18,4.5
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-24,2.0
2024-08-25,0.5
2024-08-26,0.0
2024-08-27,0.0
2024-08-28,0.0
2024-08-29,3.0
2024-08-30,0.0
2024-08-31,0.0
2024-09-01,8.0
2024-09-02,0.5
2024-09-03,0.0
2024-09-05,6.5
2024-09-06,26.5
2024-09-07,1.5
2024-09-08,16.0
2024-09-09,0.5
2024-09-10,1.0
2024-09-11,0.0
2024-09-12,1.5
2024-09-13,82.5
2024-09-14,21.0
2024-09-15,0.5
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
