TIME,30cm,50cm,100cm,150cm,200cm,300cm,500cm,700cm,900cm
2024/1/1 00:00,18.36,2.536,4.226,0,0,0,20.64,23.21,30.11
2024/1/1 00:10,18.36,2.536,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 00:20,18.36,2.536,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 00:30,18.37,2.536,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 00:40,18.37,2.537,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 00:50,18.37,2.537,4.227,0,0,0,20.64,23.21,30.1
2024/1/1 01:00,18.37,2.537,4.228,0,0,0,20.64,23.21,30.1
2024/1/1 01:10,18.37,2.537,4.229,0,0,0,20.64,23.21,30.1
2024/1/1 01:20,18.37,2.537,4.229,0,0,0,20.64,23.21,30.1
2024/1/1 01:30,18.37,2.538,4.229,0,0,0,20.64,23.21,30.1
2024/1/1 01:40,18.37,2.538,4.23,0,0,0,20.64,23.21,30.1
2024/1/1 01:50,18.37,2.538,4.231,0,0,0,20.64,23.21,30.1
2024/1/1 02:00,18.37,2.539,4.231,0,0,0,20.64,23.21,30.1
2024/1/1 02:10,18.38,2.539,4.232,0,0,0,20.64,23.21,30.1
2024/1/1 02:20,18.38,2.54,4.233,0,0,0,20.64,23.21,30.1
2024/1/1 02:30,18.38,2.541,4.234,0,0,0,20.64,23.21,30.1
2024/1/1 02:40,18.38,2.541,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 02:50,18.37,2.541,4.234,0,0,0,20.64,23.21,30.1
2024/1/1 03:00,18.37,2.541,4.234,0,0,0,20.64,23.21,30.1
2024/1/1 03:10,18.37,2.542,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 03:20,18.37,2.542,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 03:30,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 03:40,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 03:50,18.37,2.543,4.234,0,0,0,20.64,23.21,30.1
2024/1/1 04:00,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 04:10,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 04:20,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 04:30,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 04:40,18.37,2.543,4.234,0,0,0,20.65,23.21,30.1
2024/1/1 04:50,18.37,2.543,4.233,0,0,0,20.65,23.21,30.1
2024/1/1 05:00,18.37,2.543,4.232,0,0,0,20.65,23.21,30.1
2024/1/1 05:10,18.37,2.543,4.231,0,0,0,20.65,23.21,30.1
2024/1/1 05:20,18.36,2.542,4.231,0,0,0,20.65,23.21,30.1
2024/1/1 05:30,18.36,2.542,4.231,0,0,0,20.65,23.21,30.1
2024/1/1 05:40,18.36,2.542,4.23,0,0,0,20.64,23.21,30.1
2024/1/1 05:50,18.35,2.541,4.229,0,0,0,20.64,23.2,30.1
2024/1/1 06:00,18.35,2.541,4.229,0,0,0,20.64,23.21,30.1
2024/1/1 06:10,18.35,2.541,4.227,0,0,0,20.64,23.21,30.1
2024/1/1 06:20,18.35,2.541,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 06:30,18.34,2.541,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 06:40,18.34,2.54,4.226,0,0,0,20.64,23.21,30.1
2024/1/1 06:50,18.34,2.539,4.226,0,0,0,20.64,23.2,30.1
2024/1/1 07:00,18.34,2.539,4.226,0,0,0,20.64,23.2,30.1
2024/1/1 07:10,18.34,2.539,4.225,0,0,0,20.64,23.2,30.1
2024/1/1 07:20,18.34,2.539,4.224,0,0,0,20.64,23.2,30.1
2024/1/1 07:30,18.34,2.539,4.224,0,0,0,20.64,23.21,30.1
2024/1/1 07:40,18.33,2.539,4.224,0,0,0,20.64,23.2,30.1
2024/1/1 07:50,18.33,2.539,4.224,0,0,0,20.64,23.2,30.1
2024/1/1 08:00,18.33,2.539,4.224,0,0,0,20.64,23.2,30.1
2024/1/1 08:10,18.33,2.54,4.223,0,0,0,20.64,23.2,30.1
2024/1/1 08:20,18.33,2.539,4.223,0,0,0,20.64,23.2,30.1
2024/1/1 08:30,18.33,2.539,4.222,0,0,0,20.64,23.2,30.1
2024/1/1 08:40,18.33,2.539,4.221,0,0,0,20.64,23.2,30.1
2024/1/1 08:50,18.32,2.539,4.221,0,0,0,20.64,23.2,30.1
2024/1/1 09:00,18.32,2.539,4.22,0,0,0,20.64,23.2,30.1
2024/1/1 09:10,18.32,2.538,4.218,0,0,0,20.62,23.16,30.07
2024/1/1 09:20,18.31,2.534,4.217,0,0,0,20.61,23.16,30.06
2024/1/1 09:30,18.32,2.539,4.215,0,0,0,20.63,23.17,30.07
2024/1/1 09:40,18.31,2.536,4.209,0,0,0,20.61,23.19,30.07
2024/1/1 09:50,18.32,2.538,4.218,0,0,0,20.64,23.2,30.1
2024/1/1 10:00,18.32,2.538,4.217,0,0,0,20.64,23.2,30.1
2024/1/1 10:10,18.29,2.535,4.203,0,0,0,20.59,23.18,30.06
2024/1/1 10:20,18.27,2.514,4.197,0,0,0,20.56,23.06,29.98
2024/1/1 10:30,18.29,2.518,4.194,0,0,0,20.56,23.08,29.98
2024/1/1 10:40,18.3,2.525,4.212,0,0,0,20.59,23.16,30.07
2024/1/1 10:50,18.25,2.521,4.191,0,0,0,20.45,23.03,29.95
2024/1/1 11:00,18.22,2.515,4.185,0,0,0,20.51,23.09,29.98
2024/1/1 11:10,18.22,2.516,4.182,0,0,0,20.49,23.11,30.06
2024/1/1 11:20,18.27,2.529,4.195,0,0,0,20.5,23.08,29.97
2024/1/1 11:30,18.25,2.508,4.17,0,0,0,20.59,23.05,29.91
2024/1/1 11:40,18.32,2.53,4.197,0,0,0,20.58,23.17,30.03
2024/1/1 11:50,18.34,2.537,4.223,0,0,0,20.64,23.2,30.09
2024/1/1 12:00,18.32,2.537,4.219,0,0,0,20.62,23.19,30.07
2024/1/1 12:10,18.32,2.536,4.219,0,0,0,20.57,23.15,30.09
2024/1/1 12:20,18.26,2.527,4.205,0,0,0,20.56,23.1,29.97
2024/1/1 12:30,18.31,2.527,4.206,0,0,0,20.54,23.09,29.97
2024/1/1 12:40,18.32,2.533,4.212,0,0,0,20.62,23.13,30.03
2024/1/1 12:50,18.33,2.531,4.217,0,0,0,20.6,23.13,30.01
2024/1/1 13:00,18.31,2.534,4.215,0,0,0,20.6,23.14,30
2024/1/1 13:10,18.3,2.535,4.221,0,0,0,20.59,23.16,30.04
2024/1/1 13:20,18.31,2.532,4.217,0,0,0,20.55,23.09,30.02
2024/1/1 13:30,18.3,2.519,4.198,0,0,0,20.52,23.06,29.94
2024/1/1 13:40,18.3,2.518,4.207,0,0,0,20.5,23.05,29.96
2024/1/1 13:50,18.32,2.533,4.228,0,0,0,20.59,23.11,30.05
2024/1/1 14:00,18.34,2.534,4.226,0,0,0,20.64,23.17,30.08
2024/1/1 14:10,18.28,2.531,4.222,0,0,0,20.59,23.14,30.06
2024/1/1 14:20,18.35,2.544,4.228,0,0,0,20.64,23.2,30.08
2024/1/1 14:30,18.34,2.542,4.227,0,0,0,20.64,23.19,30.1
2024/1/1 14:40,18.36,2.543,4.23,0,0,0,20.65,23.2,30.1
2024/1/1 14:50,18.35,2.536,4.228,0,0,0,20.62,23.17,30.07
2024/1/1 15:00,18.31,2.534,4.215,0,0,0,20.61,23.1,30.01
2024/1/1 15:10,18.35,2.544,4.228,0,0,0,20.63,23.19,30.07
2024/1/1 15:20,18.35,2.541,4.227,0,0,0,20.65,23.2,30.1
2024/1/1 15:30,18.34,2.54,4.222,0,0,0,20.65,23.2,30.1
2024/1/1 15:40,18.34,2.54,4.226,0,0,0,20.65,23.2,30.1
2024/1/1 15:50,18.35,2.54,4.224,0,0,0,20.65,23.2,30.1
2024/1/1 16:00,18.34,2.539,4.224,0,0,0,20.65,23.2,30.1
2024/1/1 16:10,18.34,2.538,4.223,0,0,0,20.65,23.2,30.1
2024/1/1 16:20,18.34,2.537,4.221,0,0,0,20.65,23.2,30.1
2024/1/1 16:30,18.34,2.537,4.221,0,0,0,20.65,23.2,30.1
2024/1/1 16:40,18.34,2.537,4.22,0,0,0,20.65,23.2,30.1
2024/1/1 16:50,18.34,2.536,4.219,0,0,0,20.65,23.2,30.1
2024/1/1 17:00,18.33,2.535,4.218,0,0,0,20.65,23.2,30.1
2024/1/1 17:10,18.33,2.534,4.216,0,0,0,20.64,23.2,30.1
2024/1/1 17:20,18.33,2.534,4.216,0,0,0,20.64,23.2,30.1
2024/1/1 17:30,18.33,2.534,4.216,0,0,0,20.64,23.2,30.1
2024/1/1 17:40,18.33,2.534,4.215,0,0,0,20.64,23.2,30.1
2024/1/1 17:50,18.33,2.534,4.213,0,0,0,20.64,23.2,30.1
2024/1/1 18:00,18.33,2.533,4.213,0,0,0,20.64,23.2,30.1
2024/1/1 18:10,18.33,2.533,4.212,0,0,0,20.64,23.2,30.1
2024/1/1 18:20,18.33,2.532,4.211,0,0,0,20.64,23.2,30.1
2024/1/1 18:30,18.33,2.532,4.211,0,0,0,20.64,23.2,30.1
2024/1/1 18:40,18.32,2.532,4.21,0,0,0,20.64,23.2,30.1
2024/1/1 18:50,18.32,2.532,4.209,0,0,0,20.64,23.2,30.1
2024/1/1 19:00,18.32,2.532,4.208,0,0,0,20.64,23.2,30.1
2024/1/1 19:10,18.32,2.532,4.208,0,0,0,20.64,23.2,30.1
2024/1/1 19:20,18.32,2.531,4.207,0,0,0,20.64,23.2,30.1
2024/1/1 19:30,18.32,2.531,4.206,0,0,0,20.64,23.2,30.1
2024/1/1 19:40,18.32,2.531,4.206,0,0,0,20.64,23.2,30.1
2024/1/1 19:50,18.32,2.531,4.206,0,0,0,20.64,23.2,30.1
2024/1/1 20:00,18.32,2.53,4.205,0,0,0,20.64,23.2,30.1
2024/1/1 20:10,18.31,2.53,4.205,0,0,0,20.64,23.2,30.1
2024/1/1 20:20,18.31,2.53,4.205,0,0,0,20.64,23.2,30.1
2024/1/1 20:30,18.31,2.53,4.204,0,0,0,20.64,23.2,30.1
2024/1/1 20:40,18.31,2.529,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 20:50,18.31,2.529,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 21:00,18.31,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 21:10,18.3,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 21:20,18.3,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 21:30,18.3,2.528,4.202,0,0,0,20.64,23.2,30.1
2024/1/1 21:40,18.3,2.527,4.201,0,0,0,20.64,23.2,30.1
2024/1/1 21:50,18.3,2.527,4.201,0,0,0,20.64,23.2,30.1
2024/1/1 22:00,18.3,2.526,4.201,0,0,0,20.64,23.2,30.1
2024/1/1 22:10,18.3,2.526,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 22:20,18.3,2.526,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 22:30,18.3,2.526,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 22:40,18.3,2.526,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 22:50,18.3,2.526,4.203,0,0,0,20.64,23.2,30.1
2024/1/1 23:00,18.31,2.526,4.205,0,0,0,20.64,23.2,30.1
2024/1/1 23:10,18.31,2.526,4.205,0,0,0,20.64,23.2,30.1
2024/1/1 23:20,18.31,2.527,4.206,0,0,0,20.64,23.2,30.1
2024/1/1 23:30,18.31,2.527,4.206,0,0,0,20.64,23.2,30.1
2024/1/1 23:40,18.31,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/1 23:50,18.31,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 00:00,18.31,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 00:10,18.31,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 00:20,18.31,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 00:30,18.31,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 00:40,18.3,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 00:50,18.3,2.528,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 01:00,18.3,2.528,4.205,0,0,0,20.64,23.2,30.1
2024/1/2 01:10,18.3,2.528,4.204,0,0,0,20.64,23.2,30.1
2024/1/2 01:20,18.29,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 01:30,18.29,2.527,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 01:40,18.3,2.527,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 01:50,18.3,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 02:00,18.3,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 02:10,18.3,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 02:20,18.3,2.528,4.203,0,0,0,20.64,23.2,30.1
2024/1/2 02:30,18.3,2.528,4.204,0,0,0,20.64,23.2,30.1
2024/1/2 02:40,18.31,2.528,4.205,0,0,0,20.64,23.2,30.1
2024/1/2 02:50,18.31,2.528,4.205,0,0,0,20.64,23.2,30.1
2024/1/2 03:00,18.31,2.529,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 03:10,18.31,2.53,4.206,0,0,0,20.64,23.2,30.1
2024/1/2 03:20,18.31,2.53,4.207,0,0,0,20.64,23.2,30.1
2024/1/2 03:30,18.31,2.53,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 03:40,18.31,2.531,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 03:50,18.31,2.532,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 04:00,18.31,2.532,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 04:10,18.31,2.532,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 04:20,18.31,2.532,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 04:30,18.31,2.532,4.208,0,0,0,20.64,23.19,30.1
2024/1/2 04:40,18.3,2.532,4.207,0,0,0,20.64,23.19,30.1
2024/1/2 04:50,18.3,2.532,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 05:00,18.3,2.532,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 05:10,18.3,2.532,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 05:20,18.29,2.531,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 05:30,18.29,2.53,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 05:40,18.29,2.53,4.206,0,0,0,20.64,23.19,30.1
2024/1/2 05:50,18.29,2.53,4.205,0,0,0,20.64,23.19,30.1
2024/1/2 06:00,18.29,2.53,4.204,0,0,0,20.64,23.19,30.1
2024/1/2 06:10,18.28,2.53,4.203,0,0,0,20.64,23.19,30.1
2024/1/2 06:20,18.28,2.53,4.203,0,0,0,20.64,23.19,30.1
2024/1/2 06:30,18.28,2.53,4.203,0,0,0,20.64,23.19,30.1
2024/1/2 06:40,18.28,2.529,4.202,0,0,0,20.64,23.19,30.1
2024/1/2 06:50,18.28,2.528,4.201,0,0,0,20.64,23.19,30.09
2024/1/2 07:00,18.28,2.528,4.2,0,0,0,20.64,23.19,30.09
2024/1/2 07:10,18.28,2.528,4.2,0,0,0,20.64,23.19,30.09
2024/1/2 07:20,18.28,2.528,4.199,0,0,0,20.64,23.19,30.1
2024/1/2 07:30,18.28,2.528,4.199,0,0,0,20.64,23.19,30.09
2024/1/2 07:40,18.28,2.528,4.198,0,0,0,20.64,23.19,30.09
2024/1/2 07:50,18.27,2.528,4.198,0,0,0,20.64,23.19,30.09
2024/1/2 08:00,18.27,2.528,4.198,0,0,0,20.64,23.19,30.1
2024/1/2 08:10,18.27,2.528,4.198,0,0,0,20.64,23.19,30.1
2024/1/2 08:20,18.27,2.528,4.198,0,0,0,20.64,23.19,30.1
2024/1/2 08:30,18.27,2.528,4.197,0,0,0,20.64,23.19,30.1
2024/1/2 08:40,18.26,2.528,4.195,0,0,0,20.64,23.19,30.09
