TIME,30cm,50cm,60cm,80cm,100cm,150cm,200cm,300cm,500cm,700cm,900cm
45292,16.58,2.994,2.122,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.00694,16.58,2.994,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.01389,16.58,2.995,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.02083,16.58,2.994,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.02778,16.57,2.993,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.03472,16.57,2.993,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.04167,16.57,2.993,2.124,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.04861,16.56,2.993,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.05556,16.56,2.993,2.123,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.0625,16.56,2.994,2.124,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.06944,16.56,2.994,2.124,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.07639,16.56,2.994,2.124,0.467,0.285,12.14,30.49,16.73,19.32,16.51,18.25
45292.08333,16.55,2.994,2.124,0.467,0.285,12.14,30.5,16.73,19.32,16.51,18.25
45292.09028,16.55,2.994,2.124,0.467,0.285,12.14,30.5,16.73,19.32,16.51,18.25
45292.09722,16.55,2.993,2.124,0.467,0.285,12.14,30.5,16.73,19.32,16.51,18.25
45292.10417,16.55,2.993,2.124,0.467,0.285,12.14,30.5,16.73,19.32,16.51,18.25
45292.11111,16.54,2.993,2.124,0.467,0.286,12.14,30.5,16.73,19.32,16.51,18.25
45292.11806,16.54,2.992,2.124,0.467,0.286,12.14,30.5,16.73,19.32,16.51,18.25
45292.125,16.55,2.993,2.124,0.467,0.286,12.14,30.5,16.73,19.32,16.51,18.25
45292.13194,16.54,2.993,2.124,0.467,0.286,12.15,30.5,16.73,19.32,16.51,18.25
45292.13889,16.54,2.993,2.124,0.467,0.286,12.15,30.5,16.73,19.32,16.51,18.25
45292.14583,16.54,2.993,2.124,0.468,0.286,12.15,30.5,16.73,19.32,16.51,18.25
45292.15278,16.54,2.993,2.124,0.468,0.286,12.15,30.5,16.73,19.32,16.51,18.25
45292.15972,16.54,2.993,2.124,0.468,0.286,12.15,30.5,16.73,19.32,16.51,18.24
45292.16667,16.54,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.32,16.51,18.24
45292.17361,16.53,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.32,16.51,18.24
45292.18056,16.53,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.32,16.51,18.24
45292.1875,16.53,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.32,16.51,18.24
45292.19444,16.53,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.32,16.51,18.24
45292.20139,16.53,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.31,16.51,18.24
45292.20833,16.52,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.31,16.51,18.24
45292.21528,16.52,2.993,2.124,0.468,0.286,12.15,30.5,16.72,19.31,16.5,18.24
45292.22222,16.52,2.993,2.124,0.468,0.286,12.15,30.49,16.72,19.31,16.51,18.24
45292.22917,16.52,2.993,2.124,0.468,0.286,12.14,30.49,16.72,19.31,16.51,18.24
45292.23611,16.52,2.992,2.124,0.468,0.286,12.14,30.49,16.72,19.31,16.5,18.24
45292.24306,16.52,2.992,2.124,0.468,0.286,12.14,30.49,16.72,19.31,16.51,18.24
45292.25,16.51,2.991,2.124,0.468,0.286,12.14,30.49,16.72,19.31,16.5,18.24
45292.25694,16.51,2.991,2.123,0.468,0.286,12.14,30.49,16.72,19.31,16.51,18.24
45292.26389,16.51,2.992,2.123,0.468,0.286,12.14,30.48,16.72,19.31,16.5,18.24
45292.27083,16.5,2.992,2.123,0.468,0.286,12.14,30.48,16.72,19.31,16.5,18.24
45292.27778,16.5,2.992,2.123,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.24
45292.28472,16.5,2.991,2.122,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.24
45292.29167,16.5,2.99,2.123,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.24
45292.29861,16.5,2.99,2.122,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.24
45292.30556,16.5,2.99,2.122,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.23
45292.3125,16.5,2.99,2.122,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.23
45292.31944,16.5,2.99,2.123,0.468,0.286,12.14,30.47,16.71,19.31,16.5,18.23
45292.32639,16.5,2.99,2.123,0.468,0.286,12.14,30.46,16.71,19.31,16.5,18.23
45292.33333,16.5,2.99,2.123,0.468,0.286,12.14,30.46,16.71,19.31,16.5,18.23
45292.34028,16.5,2.99,2.124,0.468,0.286,12.14,30.46,16.71,19.31,16.5,18.23
45292.34722,16.5,2.99,2.124,0.468,0.286,12.14,30.46,16.71,19.31,16.5,18.23
45292.35417,16.51,2.99,2.124,0.468,0.286,12.14,30.46,16.71,19.31,16.5,18.23
45292.36111,16.51,2.99,2.124,0.468,0.286,12.14,30.46,16.71,19.31,16.5,18.23
45292.36806,16.51,2.99,2.124,0.468,0.286,12.14,30.45,16.71,19.31,16.5,18.23
45292.375,16.51,2.99,2.123,0.468,0.286,12.14,30.45,16.7,19.31,16.5,18.23
45292.38194,16.5,2.989,2.123,0.468,0.286,12.14,30.45,16.7,19.31,16.5,18.23
45292.38889,16.5,2.988,2.124,0.468,0.286,12.13,30.45,16.7,19.3,16.5,18.23
45292.39583,16.51,2.988,2.124,0.468,0.286,12.13,30.45,16.7,19.3,16.5,18.23
45292.40278,16.51,2.988,2.124,0.468,0.286,12.14,30.45,16.7,19.3,16.5,18.23
45292.40972,16.53,2.99,2.124,0.468,0.286,12.14,30.45,16.7,19.3,16.5,18.23
45292.41667,16.53,2.989,2.124,0.468,0.286,12.13,30.45,16.7,19.3,16.5,18.23
45292.42361,16.52,2.988,2.125,0.468,0.286,12.13,30.44,16.7,19.3,16.5,18.22
45292.43056,16.52,2.987,2.125,0.468,0.286,12.13,30.44,16.7,19.3,16.5,18.23
45292.4375,16.53,2.988,2.125,0.468,0.286,12.13,30.45,16.7,19.3,16.5,18.23
45292.44444,16.55,2.989,2.125,0.467,0.286,12.13,30.45,16.7,19.3,16.5,18.23
45292.45139,16.54,2.988,2.125,0.468,0.286,12.14,30.45,16.7,19.3,16.5,18.22
45292.45833,16.54,2.988,2.125,0.468,0.286,12.14,30.44,16.7,19.3,16.5,18.23
45292.46528,16.55,2.988,2.125,0.468,0.286,12.13,30.46,16.7,19.3,16.5,18.23
45292.47222,16.55,2.988,2.125,0.467,0.286,12.13,30.46,16.7,19.3,16.5,18.23
45292.47917,16.54,2.988,2.125,0.467,0.286,12.14,30.46,16.7,19.3,16.5,18.22
45292.48611,16.54,2.988,2.125,0.467,0.286,12.14,30.46,16.7,19.3,16.5,18.22
45292.49306,16.55,2.989,2.125,0.467,0.285,12.14,30.47,16.71,19.3,16.5,18.22
