"TIMESTAMP","RECORD","Result_20cm_Avg","Result_30cm_Avg","Result_50cm_Avg","Result_70cm_Avg","Result_100cm_Avg","Result_120cm_Avg","Result_140cm_Avg","Rain_mm_Tot","BattV"
"2025-06-09 13:00:00",35,37.45,35.44,34.64,37.03,37.01,38.94,38.68,0,12.72
"2025-06-09 13:10:00",36,"NAN",35.35,34.68,36.99,36.91,38.9,38.68,0,12.75
"2025-06-09 13:20:00",37,"NAN",35.32,34.69,36.98,36.89,38.9,38.68,0,12.73
"2025-06-09 13:30:00",38,"NAN",35.32,34.69,36.98,36.89,38.9,38.68,0,12.71
"2025-06-09 13:40:00",39,"NAN",36.95,35.67,37.52,37,38.85,39.29,0,12.72
"2025-06-09 13:50:00",40,35.58,35.2,34.28,36.71,36.49,38.71,38.08,6.5,13.43
"2025-06-09 14:00:00",41,35.54,35.07,34.27,36.67,36.43,38.71,38.04,0,13.09
"2025-06-09 14:10:00",42,35.47,35.12,34.24,36.66,36.41,38.69,37.99,0,13.68
"2025-06-09 14:20:00",43,35.45,34.99,34.24,36.65,36.39,38.67,37.96,0,13.32
"2025-06-09 14:30:00",44,35.42,35.12,34.24,36.64,36.38,38.65,37.97,0,13.23
"2025-06-09 14:40:00",45,35.39,35.2,34.23,36.64,36.37,38.65,37.96,0,13.25
"2025-06-09 14:50:00",46,35.37,35.24,34.23,36.64,36.35,38.66,37.96,0,13.61
"2025-06-09 15:00:00",47,35.34,35.25,34.23,36.63,36.36,38.66,37.99,0,13.9
"2025-06-09 15:10:00",48,35.33,35.24,34.23,36.63,36.36,38.67,38,0,13.38
"2025-06-09 15:20:00",49,35.31,35.23,34.23,36.63,36.35,38.68,38,0,13.94
"2025-06-09 15:30:00",50,35.3,35.21,34.23,36.63,36.34,38.67,38,0,13.95
"2025-06-09 15:40:00",51,35.28,35.18,34.23,36.63,36.34,38.67,37.99,0,13.63
"2025-06-09 15:50:00",52,35.27,35.15,34.23,36.63,36.33,38.67,38,0,13.91
"2025-06-09 16:00:00",53,35.25,35.13,34.23,36.62,36.33,38.67,38,0,13.63
"2025-06-09 16:10:00",54,35.25,35.12,34.22,36.62,36.32,38.66,38,0,13.96
"2025-06-09 16:20:00",55,35.24,35.11,34.22,36.63,36.33,38.66,38.01,0,13.95
"2025-06-09 16:30:00",56,35.25,35.1,34.21,36.63,36.32,38.66,38.01,0,13.66
"2025-06-09 16:40:00",57,35.25,35.09,34.22,36.63,36.3,38.65,37.98,0,13.92
"2025-06-09 16:50:00",58,35.25,35.09,34.21,36.62,36.32,38.66,38,0,13.26
"2025-06-09 17:00:00",59,35.25,35.09,34.21,36.62,36.3,38.65,37.99,0,13.26
"2025-06-09 17:10:00",60,35.24,35.08,34.21,36.62,36.28,38.64,37.99,0,13.26
"2025-06-09 17:20:00",61,35.22,35.07,34.21,36.62,36.29,38.64,37.97,0,13.25
"2025-06-09 17:30:00",62,35.21,35.07,34.21,36.62,36.3,38.67,38.02,0,13.36
"2025-06-09 17:40:00",63,35.21,35.07,34.21,36.62,36.3,38.67,38.02,0,13.3
"2025-06-09 17:50:00",64,35.19,35.06,34.21,36.62,36.3,38.67,38.02,0,13.36
"2025-06-09 18:00:00",65,35.17,35.06,34.21,36.62,36.29,38.67,38.02,0,13.36
"2025-06-09 18:10:00",66,35.15,35.05,34.2,36.62,36.29,38.67,38.02,0,13.35
"2025-06-09 18:20:00",67,35.12,35.05,34.2,36.62,36.29,38.67,38.03,0,13.39
"2025-06-09 18:30:00",68,35.13,35.04,34.2,36.62,36.29,38.67,38.03,0,13.32
"2025-06-09 18:40:00",69,35.11,35.03,34.2,36.62,36.29,38.67,38.03,0,13.22
"2025-06-09 18:50:00",70,35.09,35.02,34.2,36.62,36.29,38.67,38.03,0,13.16
"2025-06-09 19:00:00",71,35.07,35.01,34.2,36.62,36.29,38.67,38.03,0,13.14
"2025-06-09 19:10:00",72,35.05,35,34.2,36.62,36.28,38.67,38.03,0,13.13
"2025-06-09 19:20:00",73,35.03,34.99,34.2,36.62,36.28,38.67,38.03,0,13.12
"2025-06-09 19:30:00",74,35,34.98,34.2,36.63,36.28,38.67,38.03,0,13.12
"2025-06-09 19:40:00",75,34.98,34.97,34.2,36.63,36.28,38.67,38.03,0,13.11
"2025-06-09 19:50:00",76,34.97,34.96,34.2,36.63,36.28,38.67,38.03,0,13.11
"2025-06-09 20:00:00",77,34.96,34.95,34.2,36.63,36.28,38.66,38.03,0,13.1
"2025-06-09 20:10:00",78,34.96,34.94,34.2,36.63,36.27,38.66,38.04,0,13.1
"2025-06-09 20:20:00",79,34.95,34.93,34.2,36.63,36.27,38.66,38.04,0,13.1
"2025-06-09 20:30:00",80,34.94,34.92,34.2,36.63,36.27,38.66,38.04,0,13.1
"2025-06-09 20:40:00",81,34.94,34.91,34.2,36.63,36.27,38.66,38.04,0,13.09
"2025-06-09 20:50:00",82,34.93,34.9,34.2,36.63,36.27,38.66,38.04,0,13.09
"2025-06-09 21:00:00",83,34.92,34.89,34.2,36.63,36.27,38.66,38.04,0,13.08
"2025-06-09 21:10:00",84,34.91,34.88,34.2,36.63,36.27,38.66,38.04,0,13.08
"2025-06-09 21:20:00",85,34.89,34.87,34.2,36.63,36.26,38.66,38.04,0,13.08
"2025-06-09 21:30:00",86,34.88,34.86,34.2,36.63,36.26,38.66,38.04,0,13.08
"2025-06-09 21:40:00",87,34.88,34.85,34.2,36.63,36.26,38.66,38.04,0,13.08
"2025-06-09 21:50:00",88,34.87,34.84,34.2,36.63,36.26,38.66,38.04,0,13.07
"2025-06-09 22:00:00",89,34.86,34.83,34.2,36.63,36.26,38.66,38.04,0,13.07
"2025-06-09 22:10:00",90,34.85,34.82,34.2,36.63,36.26,38.66,38.04,0,13.07
"2025-06-09 22:20:00",91,34.84,34.81,34.2,36.63,36.26,38.66,38.04,0,13.07
"2025-06-09 22:30:00",92,34.83,34.8,34.19,36.63,36.26,38.66,38.05,0,13.07
"2025-06-09 22:40:00",93,34.82,34.79,34.19,36.63,36.25,38.66,38.05,0,13.07
"2025-06-09 22:50:00",94,34.81,34.79,34.19,36.63,36.25,38.66,38.05,0,13.06
"2025-06-09 23:00:00",95,34.81,34.78,34.19,36.63,36.25,38.66,38.05,0,13.06
"2025-06-09 23:10:00",96,34.8,34.77,34.19,36.63,36.25,38.66,38.05,0,13.06
"2025-06-09 23:20:00",97,34.79,34.77,34.19,36.63,36.25,38.66,38.05,0,13.06
"2025-06-09 23:30:00",98,34.78,34.76,34.18,36.63,36.25,38.66,38.05,0,13.06
"2025-06-09 23:40:00",99,34.78,34.76,34.18,36.63,36.25,38.66,38.05,0,13.06
"2025-06-09 23:50:00",100,34.77,34.75,34.18,36.63,36.25,38.66,38.05,0,13.06
"2025-06-10 00:00:00",101,34.76,34.75,34.18,36.63,36.25,38.66,38.05,0,13.06
"2025-06-10 00:10:00",102,34.75,34.75,34.18,36.63,36.25,38.65,38.05,0,13.05
"2025-06-10 00:20:00",103,34.74,34.75,34.18,36.63,36.25,38.66,38.05,0,13.06
"2025-06-10 00:30:00",104,34.74,34.75,34.17,36.63,36.25,38.66,38.05,0,13.05
"2025-06-10 00:40:00",105,34.73,34.74,34.17,36.63,36.25,38.66,38.05,0,13.05
"2025-06-10 00:50:00",106,34.72,34.74,34.17,36.63,36.25,38.66,38.05,0,13.05
"2025-06-10 01:00:00",107,34.71,34.73,34.17,36.63,36.25,38.65,38.05,0,13.05
"2025-06-10 01:10:00",108,34.71,34.73,34.17,36.63,36.25,38.65,38.05,0,13.05
"2025-06-10 01:20:00",109,34.7,34.73,34.17,36.63,36.25,38.65,38.05,0,13.05
"2025-06-10 01:30:00",110,34.69,34.72,34.16,36.63,36.24,38.65,38.05,0,13.05
"2025-06-10 01:40:00",111,34.68,34.72,34.16,36.63,36.24,38.65,38.05,0,13.05
"2025-06-10 01:50:00",112,34.67,34.72,34.16,36.63,36.24,38.65,38.05,0,13.05
"2025-06-10 02:00:00",113,34.66,34.71,34.16,36.63,36.24,38.65,38.05,0,13.05
"2025-06-10 02:10:00",114,34.66,34.71,34.16,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 02:20:00",115,34.65,34.71,34.16,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 02:30:00",116,34.64,34.7,34.16,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 02:40:00",117,34.64,34.7,34.15,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 02:50:00",118,34.63,34.69,34.15,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 03:00:00",119,34.62,34.69,34.15,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 03:10:00",120,34.62,34.69,34.15,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 03:20:00",121,34.61,34.68,34.15,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 03:30:00",122,34.6,34.68,34.14,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 03:40:00",123,34.59,34.67,34.14,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 03:50:00",124,34.58,34.67,34.14,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 04:00:00",125,34.58,34.67,34.14,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 04:10:00",126,34.57,34.66,34.13,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 04:20:00",127,34.56,34.66,34.13,36.63,36.24,38.65,38.06,0,13.03
"2025-06-10 04:30:00",128,34.55,34.66,34.13,36.63,36.24,38.65,38.06,0,13.04
"2025-06-10 04:40:00",129,34.55,34.65,34.13,36.63,36.24,38.65,38.06,0,13.03
"2025-06-10 04:50:00",130,34.53,34.65,34.13,36.63,36.24,38.66,38.06,0,13.03
"2025-06-10 05:00:00",131,34.52,34.64,34.13,36.63,36.24,38.66,38.06,0,13.03
"2025-06-10 05:10:00",132,34.52,34.64,34.13,36.63,36.24,38.66,38.06,0,13.03
"2025-06-10 05:20:00",133,34.51,34.64,34.12,36.63,36.24,38.66,38.06,0,13.04
"2025-06-10 05:30:00",134,34.5,34.63,34.12,36.63,36.24,38.66,38.06,0,13.08
"2025-06-10 05:40:00",135,34.5,34.63,34.12,36.62,36.24,38.66,38.06,0,13.13
"2025-06-10 05:50:00",136,34.5,34.62,34.12,36.62,36.23,38.65,38.06,0,13.19
"2025-06-10 06:00:00",137,34.5,34.62,34.12,36.62,36.23,38.66,38.06,0,13.26
"2025-06-10 06:10:00",138,34.5,34.61,34.12,36.62,36.23,38.66,38.06,0,13.39
"2025-06-10 06:20:00",139,34.5,34.61,34.12,36.62,36.24,38.66,38.06,0,13.53
