"TIMESTAMP","RECORD","Result_30cm_Avg","Result_50cm_Avg","Result_100cm_Avg","Result_150cm_Avg","Result_200cm_Avg","Result_300cm_Avg","Result_500cm_Avg","Result_700cm_Avg","Result_900cm_Avg","Rain_mm_Tot","BattV"
"2023-12-22 10:10:00",0,18.59,2.66,4.69,0,0,0,20.56,23.33,30.23,0,13.84
"2023-12-22 10:20:00",1,18.59,2.662,4.691,0,0,0,20.56,23.33,30.22,0,13.86
"2023-12-22 10:30:00",2,18.58,2.662,4.691,0,0,0,20.56,23.32,30.21,0,13.84
"2023-12-22 10:40:00",3,18.57,2.664,4.692,0,0,0,20.55,23.31,30.19,0,13.85
"2023-12-22 10:50:00",4,18.59,2.666,4.696,0,0,0,20.56,23.32,30.23,0,13.85
"2023-12-22 11:00:00",5,18.59,2.666,4.697,0,0,0,20.56,23.33,30.22,0,13.78
"2023-12-22 11:10:00",6,18.57,2.66,4.683,0,0,0,20.46,23.27,30.11,0,13.81
"2023-12-22 11:20:00",7,18.55,2.662,4.684,0,0,0,20.48,23.23,30.12,0,13.84
"2023-12-22 11:30:00",8,18.57,2.663,4.68,0,0,0,20.47,23.19,30.11,0,13.8
"2023-12-22 11:40:00",9,18.54,2.658,4.674,0,0,0,20.4,23.14,30.12,0,13.86
"2023-12-22 11:50:00",10,18.57,2.661,4.698,0,0,0,20.5,23.23,30.13,0,13.72
"2023-12-22 12:00:00",11,18.55,2.655,4.69,0,0,0,20.49,23.24,30.09,0,13.75
"2023-12-22 12:10:00",12,18.59,2.658,4.66,0,0,0,20.49,23.24,30.12,0,13.73
"2023-12-22 12:20:00",13,18.57,2.664,4.675,0,0,0,20.47,23.21,30.15,0,13.72
"2023-12-22 12:30:00",14,18.59,2.663,4.7,0,0,0,20.52,23.27,30.15,0,13.69
"2023-12-22 12:40:00",15,18.6,2.67,4.702,0,0,0,20.55,23.32,30.21,0,13.73
"2023-12-22 12:50:00",16,18.59,2.666,4.696,0,0,0,20.52,23.27,30.18,0,13.73
"2023-12-22 13:00:00",17,18.61,2.667,4.704,0,0,0,20.56,23.29,30.21,0,13.73
"2023-12-22 13:10:00",18,18.61,2.668,4.702,0,0,0,20.56,23.3,30.21,0,13.73
"2023-12-22 13:20:00",19,18.61,2.668,4.705,0,0,0,20.57,23.31,30.22,0,13.72
"2023-12-22 13:30:00",20,18.61,2.67,4.698,0,0,0,20.55,23.29,30.19,0,13.77
"2023-12-22 13:40:00",21,18.59,2.669,4.702,0,0,0,20.57,23.32,30.23,0,13.71
"2023-12-22 13:50:00",22,18.61,2.67,4.702,0,0,0,20.57,23.32,30.23,0,13.72
"2023-12-22 14:00:00",23,18.62,2.671,4.701,0,0,0,20.57,23.32,30.22,0,13.73
"2023-12-22 14:10:00",24,18.61,2.67,4.701,0,0,0,20.57,23.32,30.22,0,13.74
"2023-12-22 14:20:00",25,18.61,2.669,4.702,0,0,0,20.57,23.32,30.22,0,13.74
"2023-12-22 14:30:00",26,18.62,2.667,4.701,0,0,0,20.57,23.32,30.22,0,13.73
"2023-12-22 14:40:00",27,18.62,2.67,4.701,0,0,0,20.57,23.32,30.22,0,13.73
"2023-12-22 14:50:00",28,18.61,2.669,4.7,0,0,0,20.57,23.32,30.22,0,13.77
"2023-12-22 15:00:00",29,18.61,2.669,4.698,0,0,0,20.57,23.32,30.22,0,13.78
"2023-12-22 15:10:00",30,18.6,2.668,4.698,0,0,0,20.57,23.32,30.22,0,13.76
"2023-12-22 15:20:00",31,18.6,2.668,4.696,0,0,0,20.57,23.32,30.22,0,13.82
"2023-12-22 15:30:00",32,18.6,2.668,4.695,0,0,0,20.57,23.32,30.22,0,13.81
"2023-12-22 15:40:00",33,18.59,2.667,4.694,0,0,0,20.57,23.32,30.22,0,13.8
"2023-12-22 15:50:00",34,18.58,2.666,4.693,0,0,0,20.57,23.32,30.22,0,13.78
"2023-12-22 16:00:00",35,18.58,2.666,4.69,0,0,0,20.57,23.32,30.22,0,13.81
"2023-12-22 16:10:00",36,18.57,2.666,4.69,0,0,0,20.57,23.32,30.22,0,13.8
"2023-12-22 16:20:00",37,18.57,2.665,4.688,0,0,0,20.57,23.32,30.22,0,13.8
"2023-12-22 16:30:00",38,18.57,2.664,4.686,0,0,0,20.57,23.32,30.22,0,13.79
"2023-12-22 16:40:00",39,18.56,2.664,4.684,0,0,0,20.57,23.32,30.22,0,13.85
"2023-12-22 16:50:00",40,18.56,2.663,4.684,0,0,0,20.57,23.32,30.22,0,13.83
"2023-12-22 17:00:00",41,18.56,2.662,4.682,0,0,0,20.57,23.32,30.22,0,13.82
"2023-12-22 17:10:00",42,18.56,2.662,4.681,0,0,0,20.57,23.32,30.22,0,13.72
"2023-12-22 17:20:00",43,18.56,2.662,4.679,0,0,0,20.57,23.32,30.22,0,13.65
