x,y
2024/3/8 10,16.3
2024/3/10 22,12.5
2024/4/15 12,27.1
2024/4/21 22,14.3
2024/5/25 00,29.2
2024/5/27 10,22.5
2024/6/12 14,29.8
2024/6/14 10,23.7
2024/6/14 16,26.5
2024/6/18 12,21.1
2024/6/19 8,27.3
2024/6/24 16,19.3
2024/6/25 16,20.7
2024/7/12 6,15.1
2024/8/21 3,43.7
2024/8/29 11,21.6
2024/9/4 14,33.6
2024/9/5 16,28.5
2024/9/7 00,31.5
2024/9/8 12,28.3
2024/9/8 19,31.5
2024/9/9 9,29.6
2024/9/10 3,33
2024/9/12 8,27.9
2024/9/15 22,33.3
2024/9/18 13,26.7
2024/10/9 18,42.7
2024/10/14 12,29.3
2024/10/16 16,42.6
2024/10/17 12,33
2024/10/18 12,42.3
2024/10/21 22,30.6
2024/11/2 00,35.4
2024/11/27 10,22.4
,
,
,
,
