Time,TxSoil50cm
2024-01-01,19.7
2024-01-02,19.5
2024-01-03,19.5
2024-01-04,19.2
2024-01-05,18.9
2024-01-06,18.7
2024-01-07,18.6
2024-01-08,18.5
2024-01-09,18.7
2024-01-10,18.9
2024-01-11,18.6
2024-01-12,18.3
2024-01-13,18.3
2024-01-14,18.3
2024-01-15,18.4
2024-01-16,18.5
2024-01-17,18.6
2024-01-18,18.8
2024-01-19,19.2
2024-01-20,19.7
2024-01-21,20.0
2024-01-22,19.8
2024-01-23,19.1
2024-01-24,18.2
2024-01-25,17.8
2024-01-26,17.7
2024-01-27,17.8
2024-01-28,17.8
2024-01-29,17.9
2024-01-30,18.4
2024-01-31,18.8
2024-02-01,19.2
2024-02-02,19.6
2024-02-03,19.9
2024-02-04,20.2
2024-02-05,20.5
2024-02-06,20.6
2024-02-07,20.6
2024-02-08,20.1
2024-02-09,19.5
2024-02-10,19.1
2024-02-11,18.7
2024-02-12,18.3
2024-02-13,18.1
2024-02-14,18.0
2024-02-15,18.3
2024-02-16,18.8
2024-02-17,19.2
2024-02-18,19.5
2024-02-19,19.9
2024-02-20,20.5
2024-02-21,21.2
2024-02-22,21.5
2024-02-23,21.7
2024-02-24,21.6
2024-02-25,21.4
2024-02-26,21.2
2024-02-27,20.8
2024-02-28,20.5
2024-02-29,20.6
2024-03-01,20.8
2024-03-02,20.1
2024-03-03,19.6
2024-03-04,19.7
2024-03-05,20.1
2024-03-06,20.9
2024-03-07,21.1
2024-03-08,20.7
2024-03-09,20.3
2024-03-10,19.7
2024-03-11,19.8
2024-03-12,19.7
2024-03-13,19.8
2024-03-14,20.0
2024-03-15,20.2
2024-03-16,20.8
2024-03-17,21.5
2024-03-18,21.8
2024-03-19,21.8
2024-03-20,21.2
2024-03-21,21.0
2024-03-22,21.1
2024-03-23,21.4
2024-03-24,22.0
2024-03-25,22.8
2024-03-26,23.4
2024-03-27,23.6
2024-03-28,23.5
2024-03-29,23.8
2024-03-30,24.0
2024-03-31,24.3
2024-04-01,24.3
2024-04-02,24.7
2024-04-03,25.1
2024-04-04,25.4
2024-04-05,25.5
2024-04-06,25.3
2024-04-07,25.2
2024-04-08,25.1
2024-04-09,25.1
2024-04-10,24.8
2024-04-11,24.8
2024-04-12,25.1
2024-04-13,25.5
2024-04-14,25.7
2024-04-15,26.0
2024-04-16,26.3
2024-04-17,26.4
2024-04-18,26.6
2024-04-19,26.7
2024-04-20,26.7
2024-04-21,26.8
2024-04-22,26.9
2024-04-23,26.7
2024-04-24,26.1
2024-04-25,25.7
2024-04-26,25.4
2024-04-27,25.1
2024-04-28,25.3
2024-04-29,25.2
2024-04-30,25.7
2024-05-01,25.8
2024-05-02,25.6
2024-05-03,25.8
2024-05-04,26.1
2024-05-05,26.3
2024-05-06,26.4
2024-05-07,26.7
2024-05-08,26.8
2024-05-09,26.8
2024-05-10,26.6
2024-05-11,26.7
2024-05-12,26.6
2024-05-13,26.8
2024-05-14,26.4
2024-05-15,26.1
2024-05-16,26.1
2024-05-17,26.1
2024-05-18,26.1
2024-05-19,26.2
2024-05-20,26.4
2024-05-21,26.5
2024-05-22,26.7
2024-05-23,26.8
2024-05-24,26.8
2024-05-25,26.9
2024-05-26,27.0
2024-05-27,27.0
2024-05-28,26.8
2024-05-29,26.7
2024-05-30,27.0
2024-05-31,27.4
2024-06-01,27.7
2024-06-02,27.7
2024-06-03,27.4
2024-06-04,27.1
2024-06-05,27.0
2024-06-06,27.0
2024-06-07,27.1
2024-06-08,27.4
2024-06-09,27.7
2024-06-10,27.7
2024-06-11,27.8
2024-06-12,27.9
2024-06-13,28.0
2024-06-14,28.0
2024-06-15,27.9
2024-06-16,28.2
2024-06-17,28.4
2024-06-18,28.5
2024-06-19,28.4
2024-06-21,28.6
2024-06-22,28.7
2024-06-23,28.9
2024-06-24,29.0
2024-06-25,29.0
2024-06-26,28.8
2024-06-27,28.9
2024-06-28,29.2
2024-06-29,29.2
2024-06-30,29.2
2024-07-01,29.3
2024-07-02,29.5
2024-07-03,29.5
2024-07-04,29.6
2024-07-05,29.6
2024-07-06,29.7
2024-07-07,29.6
2024-07-08,29.4
2024-07-09,29.1
2024-07-10,29.2
2024-07-11,29.3
2024-07-12,29.3
2024-07-13,29.5
2024-07-14,29.5
