period,start_time,end_time,duration_days,data_points,tau_theta,r2_theta,theta_change,initial_theta,final_theta
1,2024-03-08 10:00:00,2024-03-10 22:00:00,2.5,31,1.516459241865174,0.9890541797229975,3.759866666666669,16.3077,12.547833333333331
2,2024-04-15 12:00:00,2024-04-21 22:00:00,6.416666666666667,78,1.9078627088515492,0.9577663258340007,12.727933333333334,27.074,14.346066666666667
3,2024-05-25 00:00:00,2024-05-27 10:00:00,2.4166666666666665,27,0.6793979757468709,0.929550425936437,6.732433333333336,29.206,22.473566666666663
4,2024-06-12 14:00:00,2024-06-14 10:00:00,1.8333333333333333,22,0.7573880652075409,0.9667666648081119,6.159333333333336,29.81566666666667,23.656333333333333
5,2024-06-14 16:00:00,2024-06-18 12:00:00,3.8333333333333335,47,3.5496017208181496,0.9807102524191355,5.433933333333332,26.489666666666665,21.055733333333333
6,2024-06-19 08:00:00,2024-06-24 16:00:00,5.333333333333333,64,2.875150857507441,0.9475001269171632,7.954033333333335,27.272333333333336,19.3183
7,2024-06-25 16:00:00,2024-07-12 06:00:00,16.583333333333332,188,7.044787981285773,0.9962857382977228,5.566066666666668,20.6816,15.115533333333332
8,2024-08-21 03:00:00,2024-08-29 11:00:00,8.333333333333334,193,1.6523671845782575,0.959746826486162,22.132333333333328,43.736,21.60366666666667
9,2024-09-04 14:00:00,2024-09-05 16:00:00,1.0833333333333333,26,0.5000000000000039,0.9565610282532822,5.159000000000006,33.62533333333334,28.46633333333333
10,2024-09-07 00:00:00,2024-09-08 12:00:00,1.5,36,0.9264971134598333,0.9933854025329799,3.2236666666666594,31.493,28.26933333333334
11,2024-09-08 19:00:00,2024-09-09 09:00:00,0.5833333333333334,14,0.7177360413007841,0.9725700221324358,1.8326666666666647,31.474,29.641333333333336
12,2024-09-10 03:00:00,2024-09-12 08:00:00,2.2083333333333335,52,0.6628524653577349,0.9788732144129005,5.137666666666668,33.029,27.891333333333336
13,2024-09-15 22:00:00,2024-09-18 13:00:00,2.625,61,1.2366925260493973,0.9821494765049689,6.585666666666668,33.28666666666667,26.701
14,2024-10-09 18:00:00,2024-10-14 12:00:00,4.75,58,0.6353964382077449,0.9157956231213776,13.452999999999996,42.72933333333333,29.276333333333334
15,2024-10-16 16:00:00,2024-10-17 12:00:00,0.8333333333333334,11,0.5000000000000001,0.8556068930158027,9.607999999999997,42.568333333333335,32.96033333333334
16,2024-10-18 12:00:00,2024-10-21 22:00:00,3.4166666666666665,24,0.5000000000000001,0.9143446906844968,11.674666666666674,42.29266666666667,30.617999999999995
17,2024-11-02 00:00:00,2024-11-27 10:00:00,25.416666666666668,300,10.05096188512604,0.9949181971337853,13.048999999999996,35.425,22.376
