x,y
2024/03/18 13:00,30.49
2024/03/20 03:00,31.21
2024/03/30 15:00,29.09
2024/04/01 01:00,29.75
2024/04/01 11:00,28.95
2024/04/04 03:00,30.03
2024/05/01 19:00,30.12
2024/05/03 13:00,31.1
2024/05/05 19:00,28.96
2024/05/07 11:00,29.55
2024/05/07 15:00,29.09
2024/05/09 03:00,29.9
2024/05/10 13:00,28.9
2024/05/13 11:00,30.15
2024/05/13 23:00,28.82
2024/05/16 03:00,29.87
2024/05/16 19:00,28.79
2024/05/19 13:00,29.85
2024/05/21 21:00,29.06
2024/05/24 11:00,29.73
2024/05/24 17:00,29.2
2024/05/26 17:00,30.07
2024/05/29 11:00,29.48
2024/06/01 13:00,30.88
2024/06/02 19:00,29.83
2024/06/06 21:00,31.38
2024/06/15 13:00,29.48
2024/06/19 17:00,31.32
2024/06/20 11:00,30.34
2024/06/22 03:00,31.01
2024/06/22 13:00,30.29
2024/06/25 17:00,31.31
2024/06/26 17:00,29.45
2024/07/04 11:00,32.81
2024/07/13 13:00,25.85
2024/07/14 03:00,26.18
2024/07/14 13:00,25.88
2024/07/15 13:00,26.34
2024/07/20 13:00,25.65
2024/07/21 03:00,26.01
2024/07/21 11:00,25.74
2024/07/22 03:00,26.2
2024/07/22 11:00,25.51
2024/07/23 03:00,25.97
2024/08/02 11:00,26.4
2024/08/03 03:00,26.76
2024/08/13 11:00,25.57
2024/08/15 03:00,26.5
2024/08/15 15:00,26.03
2024/08/17 01:00,26.7
2024/08/21 15:00,26.19
2024/08/22 03:00,26.51
2024/08/22 11:00,26.37
2024/08/23 03:00,26.68
2024/08/24 11:00,26.69
2024/08/26 11:00,27.7
2024/08/26 21:00,26.98
2024/08/29 17:00,28.31
2024/06/29 11:00,31.18
2024/07/01 23:00,32.04
2024/07/02 01:00,31.97
2024/07/04 21:00,32.67
2024/06/04 23:00,30.74
2024/06/07 11:00,31.43
2024/06/29 11:00,31.18
2024/07/01 23:00,32.04
2024/07/02 01:00,31.97
2024/07/04 21:00,32.67
2024/06/04 23:00,30.74
2024/06/07 11:00,31.43
