x,y
2024/03/06 14:00,130.16
2024/03/09 08:00,138.18
2024/04/12 16:00,105.46
2024/04/21 20:00,135.23
2024/05/23 18:00,105.34
2024/05/27 06:00,115.92
2024/06/10 20:00,103.96
2024/06/14 10:00,115.03
2024/06/15 02:00,112.91
2024/06/17 14:00,120.66
2024/06/25 18:00,115.95
2024/07/05 10:00,134.09
2024/08/19 14:00,97.44
2024/08/29 08:00,131.19
2024/09/02 20:00,102.72
2024/09/05 16:00,110.26
2024/09/07 00:00,108.11
2024/09/08 11:00,111.34
2024/09/09 14:00,103.02
2024/09/12 09:00,112.7
2024/09/12 12:00,105.89
2024/09/17 14:00,117.58
2024/09/19 16:00,103.32
2024/09/23 16:00,117.32
2024/09/25 06:00,114.65
2024/10/08 08:00,142.43
2024/10/08 20:00,121.2
2024/10/14 10:00,134.03
2024/10/15 08:00,112.17
2024/10/17 12:00,119.9
2024/10/17 18:00,112.07
2024/10/21 22:00,126.13
2024/11/03 06:00,120.29
2024/11/11 06:00,132.29
2024/11/19 06:00,136.31
2024/12/09 20:00,166.79
2024/11/30 00:00,151.39
2024/12/17 08:00,173.25
